schema_version,source,source_id,source_url,crawled_at,category,status,title,region,recruit_period_raw,recruit_start_date,recruit_end_date,is_evergreen,application_method,application_url,result_announcement_date_raw,result_confirmation,organization_name,manager_name,contact,view_count,tags_json,content_text,attachments_json,images_json,detail_accessible
1.0,jaripon,1977,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1977,2026-09-13T13:56:28+09:00,진로,모집종료,자립준비청년 가드너 양성 교육 프로그램,경기,2026-07-14 ~ 2026-07-30,2026-07-14,2026-07-30,False,,,,,(주)브라더스키퍼,,,465,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1971,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1971,2026-09-13T13:56:29+09:00,진로,모집종료,2026 LIG 커리어 브릿지 캠프,전국,2026-07-13 ~ 2026-07-17,2026-07-13,2026-07-17,False,,,,,사회복지법인월드비전,,,826,[],,[],[],False
1.0,jaripon,1973,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1973,2026-09-13T13:56:29+09:00,진로,모집종료,백엔드 + AI 교육,대구 외 (2),2026-07-10 ~ 2026-07-31,2026-07-10,2026-07-31,False,,,,,한국디지털융합진흥원,,,241,"[""자립준비청년"", ""동북권(경북,대구,강원)""]",,[],[],False
1.0,jaripon,1972,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1972,2026-09-13T13:56:29+09:00,진로,모집종료,[Develop Career] 생성형 AI 활용 교육,세종,2026-07-10 ~ 2026-07-19,2026-07-10,2026-07-19,False,,,,,한국표준협회,,,260,[],,[],[],False
1.0,jaripon,1970,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1970,2026-09-13T13:56:29+09:00,진로,모집종료,2026 자립준비청년 찾아가는 채용설명회 및 기업탐방,전국,2026-07-09 ~ 2026-07-16,2026-07-09,2026-07-16,False,,,,,인천국제공항공사,,,429,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1958,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1958,2026-09-13T13:56:32+09:00,진로,모집종료,국토교통과학기술진흥원 2026년 제2차 인재채용[NCS,경기,2026-07-09 ~ 2026-07-20,2026-07-09,2026-07-20,False,,,,,인바스켓,,,194,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,1960,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1960,2026-09-13T13:56:32+09:00,진로,모집종료,리턴 투 워크-마인드카페와 함께하는 한걸음 챌린지_2기,전국,2026-07-03 ~ 2026-07-31,2026-07-03,2026-07-31,False,,,,,서울현대교육재단,,,1097,"[""자립준비청년 우대""]",,[],[],False
1.0,jaripon,1961,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1961,2026-09-13T13:56:32+09:00,진로,모집종료,"2026년 대한적십자사 '자립시, 꽃길로' 안내",전국,2026-07-02 ~ 2026-07-13,2026-07-02,2026-07-13,False,,,,,대한적십자사,,,1505,"[""자립준비청년 대상""]",,[],[],False
1.0,jaripon,1959,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1959,2026-09-13T13:56:32+09:00,진로,모집종료,캐릭터 콘텐츠 창작 교육과정 해외연수 참여자 모집,충남,2026-07-02 ~ 2026-07-15,2026-07-02,2026-07-15,False,,,,,충남아동자립지원전담기관,,,247,[],,[],[],False
1.0,jaripon,1955,https://jaripon.ncrc.or.kr/home/kor/support/projectMng/edit.do?idx=1955,2026-09-13T13:56:32+09:00,진로,모집종료,한국재정정보원 제4차 채용(체험형 청년인턴),서울 외 (6),2026-07-01 ~ 2026-07-15,2026-07-01,2026-07-15,False,,,,,한국재정정보원,,,189,"[""자립준비청년 우대""]",,[],[],False
